vehicle_name,stock_number,status,location,fuel_type,sleeps,length,sales_price (USD),horse_power
2016 THOR CHATEAU CITATION 24SR,2192779,Used,"Oklahoma City, OK",,6,25 ft 0 in,84999,N/A
2017 THOR GEMINI 23TR,2189847,Used,"Colfax, NC",,4,23 ft 6 in,85499,N/A
2016 THOR FOUR WINDS SIESTA 24SR,2155789,Used,"Syracuse, NY",,5,25 ft 0 in,86999,N/A
2017 WINNEBAGO FUSE 23T,2197269P,Used,"Avondale, AZ",,4,24 ft 0 in,86495,N/A
2018 COACHMEN PRISM 2150CB,2192639,Used,"Cocoa, FL",,6,25 ft 0 in,87099,N/A
2007 ITASCA MERIDIAN 36G,2160208,Used,"Columbia, MO",,5,36 ft 5 in,87999,N/A
2018 THOR FOUR WINDS SIESTA 24SJ,2171054,Used,"Fort Pierce, FL",,5,26 ft 0 in,87999,N/A
2007 COACHMEN SPORTCOACH ELITE 40QS,2142365,Used,"Anniston, AL",,6,40 ft 0 in,87499,N/A
2016 WINNEBAGO VIEW 24G,2182608,Used,"St. George, UT",,4,26 ft 0 in,87499,N/A
2018 THOR GEMINI 24TF,2160881,Used,"Churchville, NY",,3,24 ft 11 in,88499,N/A
2018 THOR CHATEAU 24FS,2149047,Used,"Oklahoma City, OK",,5,24 ft 8 in,87799,N/A
2018 THOR COMPASS 23TR,2168590,Used,"Dothan, AL",,3,23 ft 6 in,87995,N/A
2018 THOR COMPASS 23TB,2153982P,Used,"Coldwater, MI",,3,23 ft 6 in,88999,N/A
2019 THOR QUANTUM KM24,3000183P,Used,"Georgetown, KY",,6,24 ft 8 in,88999,N/A
2018 COACHMEN PRISM 2200LE,2177567P,Used,"Anderson, CA",,4,25 ft 0 in,88299,N/A
2016 THOR FOUR WINDS SIESTA 24SL,2183262,Used,"Fort Worth, TX",,4,24 ft 10 in,88499,N/A
2018 THOR GEMINI 23TB,2185088,Used,"Gulf Breeze, FL",,4,23 ft 6 in,89499,N/A
